SMILES,endpoint
CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,active
C[N+](C)(C)CCOC(N)=O,active
CCCCCCCCCCCCCCCC[n+]1ccccc1,active
CON=C(C#N)C12CCN(CC1)C2,active
CN(CC#CCN1CCCC1)C(=O)CCCCCCN,active
C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,active
CC1OC(C[N+](C)(C)C)CC1O,active
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,active
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,active
CCCCCCOc1nsnc1C1=CCCN(C)C1,active
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,active
CC1OC(=O)C2CC3CCCCC3C(C=CC3CCCC(C)N3C)C12,active
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,active
O=C1CCCN1CC#CCN1CCCC1,active
CN1C2CC(OC(=O)OCC(Cl)(Cl)Cl)C1CCC2,active
O=C(O)c1cn(Cc2ccc(OC(F)(F)F)cc2)c2c(F)ccc(F)c2c1=O,active
Brc1cc(CON=CC2CN3CCC2C3)on1,active
C[N+]1(C)C2CCC1CC(C=C(c1cccs1)c1cccs1)C2,active
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,active
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,active
CN(C)CCN(Cc1cccs1)c1ccccn1,active
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,active
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,active
CC(=O)N(C)C(C)C#CCN1CCCC1,active
O=C(CCCNC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NCCC(=O)NCC1CCCN(CC2CCCCC2)C1,active
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,active
O=C(OC1CN2CCC1CC2)C(O)(c1cccs1)C1CCCC1,active
COC(=O)C1=CCCN(C)C1,active
CN(C)C1(CNCCC2CCOCC2)COc2cc(Cl)c(Cl)cc2OC1,active
Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,active
O=C(Nc1ccccc1-c1ccccc1)OC12CCN(CC1)CC2,active
CN(C)c1ccc(C(c2ccc(N(C)C)cc2)=C2C=CC(=[N+](C)C)C=C2)cc1,active
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,active
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,active
CN1C2CCC1CC(NC(c1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1)C2,active
C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,active
Cc1cc(OCC#CC[N+]2(C)CCCC2)no1,active
O=C(OC1CC2CCCC1N2)c1ccc([N+](=O)[O-])cc1,active
C(#CCN1CCCC1)COc1cc(-c2ccccc2)on1,active
[H]C([H])([H])N1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,active
CN1C2CCC1CC(CC(CNS(C)(=O)=O)(c1ccccc1)c1ccccc1)C2,active
CCC(C)C(O)C(=O)OCC1CCN2CCCC12,active
CCC(C)C(C(=O)OCC[N+](C)(C)CC)c1ccccc1,active
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,active
O=C(OC1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1cc(F)c(F)c(F)c1)c1cccc(F)c1,active
Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,active
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,active
CCC(=O)NC1CCN(CCCN2C(=O)CCc3cc(F)c(F)cc32)CC1,active
CC(C)c1ccc(CCNCC2(N(C)C)COc3ccccc3OC2)cc1,active
C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,active
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,active
COc1nc(NCCCN2CCOCC2)nc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,active
CON=CC1CN2CCC1C2,active
CC(C=NO)CC#CCN1CCCC1,active
CC1OC(=O)C2C=C3CCCCC3C(=CCC3CCC(C)(C)[N+]3(C)C)C12,active
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,active
OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCCOc3ccccc3)(CC1)CC2,active
CCCCN(CCCC)c1ccc(C=Cc2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1,active
O=C(CCNS(=O)(=O)c1ccc(F)c2nonc21)N1CCN(c2ccc(Br)cn2)CC1,active
CNC1CCN(c2ccc(-n3ncc4cc(-c5ccc(C(F)(F)F)cc5)sc4c3=O)cn2)C1,active
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,active
COC(=O)C1c2ccccc2CCN1Cc1cc(C(=O)O)c(=O)n2ccccc12,active
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c2nc(Cl)[nH]c2c(=O)n(C)c1=O,active
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,active
CCN1CCN(c2ccc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2Cl)CC1,active
