SMILES,endpoint
S=C(NCCc1ccccc1)Nc1nccs1,active
Fc1cccc(Cl)c1CCNC(=S)Nc1nccs1,active
C=CC[NH+]1Cc2cccc3[nH]c(=O)n(c32)CC1C,active
CC(C)=CC[NH+]1Cc2cc(Cl)cc3[nH]c(=S)n(c32)CC1C,active
CC(C)=CC[NH+]1Cc2c3c(ccc2Cl)[nH]c(=S)n3CC1C,active
S=C(NCCc1ccccn1)Nc1ccc(Br)cn1,active
Fc1cccc(F)c1CCNC(=S)Nc1ccc(Br)cn1,active
O=C1c2ccccc2C2(c3ccccc3)SCCN12,active
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,active
Cc1c(=O)[nH]c(=O)n(COCCO)c1SC1CCCCC1,active
Cc1c(=O)[nH]c(=S)n(COCCO)c1Sc1ccccc1,active
CCOCC1C(=O)NC(=O)C(CC)=C1Cc1ccccc1,active
CCOCC1C(=O)NC(=O)C(CC)=C1Cc1ccccc1,active
CCOCn1c(=O)[nH]c(=O)c(C(C)C)c1Cc1ccccc1,active
Cc1cc(C)cc(Cc2c(C(C)C)c(=O)[nH]c(=O)n2COCCO)c1,active
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,active
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)N1,active
O=C1Nc2ccc(Cl)cc2C(C=CC2CC2)(C(F)(F)F)N1,active
Cc1c(Cc2ccccc2)nc(OC2CCCCC2)[nH]c1=O,active
COc1ccc2c(c1)N(C(=O)OC(C)C)C(CSC)C(=S)N2,active
CC(=O)c1ccccc1NC(C(N)=O)c1c(Cl)cccc1Cl,active
CC(=O)c1ccccc1NC(C(N)=O)c1c(Cl)cccc1Cl,active
NC(=O)C(Nc1ccccc1[N+](=O)[O-])c1c(Cl)cccc1Cl,active
NC(=O)C(Nc1ccccc1[N+](=O)[O-])c1c(Cl)cccc1Cl,active
CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Br)cccc1Br,active
CC1=C(C(=O)Nc2ccc(Cl)c(C(=O)OC(C)C)c2)SCCO1,active
CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Cl)cccc1Cl,active
CCN1c2cc([N+](=O)[O-])ccc2N(C)C(=O)c2cccnc21,active
Cc1occc1C(=S)Nc1ccc(Cl)c(CNOC(C)(C)C)c1,active
CCN1c2ncccc2-c2ncc(C)n2-c2ccc(OC)nc21,active
CCc1cc(NCc2nc3c(o2)c(C)ccc3C)c(=O)[nH]c1C,active
CC(C)c1c(=O)[nH]c(=O)n(COCc2ccccc2)c1Cc1ccccc1,active
CC1Oc2c3c(c4c(-c5ccccc5)cc(=O)oc4c2C(O)C1C)OC(C)(C)C=C3,active
O=C([O-])c1cc(C(c2ccc(O)c(C(=O)[O-])c2)=C2C=CC(=O)C(C(=O)[O-])=C2)ccc1O,active
COc1ccc2c(c1OC)C(=O)OC2Nc1ccccc1Br,decoy
COc1ccc(NC(C)=O)c(N=Cc2cc(Br)ccc2O)c1,decoy
Cn1c(=O)cc(NC(=O)C=Cc2c(F)cccc2Cl)n(C)c1=O,decoy
COc1cccc(OC)c1C(=O)Nc1ccc(Cl)c([N+](=O)[O-])c1,decoy
CC1CCc2c(sc(NC(=O)c3ccccc3F)c2C(N)=O)C1,decoy
CCc1ccc(S(=O)(=O)NCc2cn3ccsc3n2)s1,decoy
CCn1ncc(Br)c1C(=O)Nc1cccc(C(=O)OC)c1,decoy
O=C(NN=Cc1cc2c(cc1Br)OCO2)c1ccc2c(c1)OCCO2,decoy
CCC=c1[nH]n2c(=N)c(=Cc3ccc(F)cc3)c(=O)nc-2s1,decoy
Cc1ccc(NC(=O)COC(=O)c2ccc(Br)o2)c(C)c1,decoy
COC(=O)c1ccc(NC(=O)c2ccc(OC)c(Cl)c2)cc1,decoy
COc1cc(OC)c(CNc2ccc3cn[nH]c3c2)cc1Br,decoy
Cc1cc(Br)cc(C=NNC(=O)c2ccc3c(c2)OCO3)c1O,decoy
CCn1ncc(CNC(=O)c2ccc(Cl)cc2[N+](=O)[O-])c1C,decoy
COC(=O)c1sc2ncnc(Nc3cccc(OC)c3)c2c1C,decoy
Cc1cc(C(=O)NN=Cc2ccc(O)c(Br)c2)c(C)o1,decoy
O=C(Nc1ncc(Cc2ccccc2Cl)s1)C1CCCO1,decoy
CC1(C)CC2(CCO1)C(=Nc1ccccc1)N=C(S)N2CC#N,decoy
CCN(CC)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,decoy
COc1ccc(Br)cc1C=NNC(=O)c1cc(C)n[nH]1,decoy
