SMILES,endpoint
O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,active
O=C(O)c1ccc2c3c1ncnc3-c1ccccc1C2=O,active
O=[N+]([O-])c1cc(O)cc2cccnc21,active
NCCCCCNc1cc(O)cc2cccnc21,active
CCC(C)NCCNc1cc(OC)cc2cccnc21,active
CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,active
COc1ccc2c(C)n[nH]c3cccc1c32,active
O=C1C2C3C=CC(C3)C2C(=O)N1CNc1ccc(O)cc1,active
O=C(CSc1n[nH]c(-c2ccccc2)n1)c1ccc(O)c(O)c1,active
COc1ccc(OC)c(C=Nc2oc(-c3ccco3)c(-c3ccco3)c2C#N)c1,active
O=C1NCCCC2c3cc(O)c4ccccc4c3OC12N1CCCCC1,active
COc1ccc(C2=NOC3C(=O)N(c4ccc5c(c4)OCCO5)C(=O)C23)cc1OC,active
CCOc1ccc(NCC(=O)Nc2ccc(C)cc2C)cc1,active
O=S(=O)(Nc1ccc(O)c(-c2c(O)ccc3ccccc32)c1)c1ccccc1,active
CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,active
COc1ccc(OC)c(-n2c(C)nc3cc(C(=O)O)ccc32)c1,active
CCn1cc(C(=O)NCc2ccccn2)c(=O)c2cc(S(=O)(=O)N3CCCCC3)ccc21,active
CCOc1ccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)c2cccnc12,active
O=C(NCCCn1ccnc1)c1noc2c1CCc1ccccc1-2,active
O=C1c2ccccc2C(=O)C1=C1C=Nc2ccccc2N1,active
CN(C)c1ccc(NC=C2N=C(c3ccccc3)OC2=O)cc1,active
Cc1nc(C2=C(C(F)(F)F)ONC2=C2C=CC(=O)C=C2O)cs1,active
CCCc1nc2ccccc2c(=O)n1NC=C1C=CC(=O)C(O)=C1,active
CCCC1=CC(=C2NNC=C2c2ccc3c(c2)OCCCO3)C(=O)C=C1O,active
COc1ccccc1-c1nnc2n1NC(=C1C=CC(=O)C(O)=C1)CS2,active
O=C1C=CC(=C2NC(c3ccc(O)c(O)c3)=CS2)C=C1,active
CCOC(O)=c1oc2c(c(=O)c1=C1NN=CN1c1ccccc1)C=CC(=O)C2=O,active
Cl.CCOc1cc(N2CCOCC2)c(OCC)cc1NC1=NCCCCC1,active
Cc1ccc(S(=O)(=O)Nc2ccc(F)c(-c3c4c(ccc3O)OCO4)c2)cc1,active
N#Cc1cc(S(=O)(=O)Nc2ccc(F)c(-c3c4c(ccc3O)OCO4)c2)ccc1F,active
O=C(O)c1ccc2c(c1)C(c1ccccc1)OC2=O,decoy
COc1ccc(-c2nc(CSCC(=O)NCc3ccco3)c(C)o2)cc1,decoy
CC(C)c1nnc(NC(=O)CC(=O)Nc2ccccc2C(=O)O)s1,decoy
CCCn1c2nc(C3CCCC3)[nH]c2c(=O)n(CCC)c1=O,decoy
CC(=O)Nc1c(=O)n(C)c2cccc3c2c1-c1ccccc1C3=O,decoy
CC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccccc1OCC#N,decoy
Cc1ccc(C(=O)Nc2ccc(N3CCOCC3)cc2)cc1,decoy
CC(C)(C)n1ncc2c1ncn(CC(=O)N1CCCCCC1)c2=O,decoy
Cc1cc(=O)oc(C)c1C(=O)NCCc1ccccc1,decoy
c1ccc2[nH]c(CSc3nnc(-c4ccncc4)o3)nc2c1,decoy
Cc1c2oc3c(c2cc2c(C)c(C)c(=O)oc12)CCCC3,decoy
Cc1nc(N2C(=O)C(=O)C(=C(O)c3ccccc3)C2c2ccco2)sc1C,decoy
O=C(c1ccccc1)N1CCCC(C(=O)N2CCCCCC2)C1,decoy
CCCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1ccc(N(C)C)cc1,decoy
OCCN(CCO)c1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3,decoy
Cl.Cc1c2ccccc2oc1C(=O)OCC(C)(C)CN(C)C,decoy
COC(=O)c1ccccc1NC(=O)C1CCCN(c2nnc(-n3cccc3)s2)C1,decoy
Cc1cccc(-c2noc(CCCC(=O)Nc3cccnc3)n2)c1,decoy
CC(CN1CCOCC1)OC(=O)COc1ccc(F)cc1,decoy
CCOc1ccc2c(c1)cc(CN(C(=O)CC)C1CCCCC1)c1nnnn12,decoy
Cc1ccccc1CS(=O)(=O)Cc1ccc(C(=O)NCc2cccnc2)o1,decoy
CCC(Sc1ncccc1C(=O)OCCN1CCCC1=O)C(=O)NCc1ccco1,decoy
CCOc1cccc(C(O)=C2C(=O)C(=O)N(CCOC)C2c2ccncc2)c1,decoy
O=C(COC(=O)C1CC(=O)N(c2ccc3c(c2)OCCO3)C1)Nc1ccc2c(c1)CCC2,decoy
COc1cccc2cc(-c3nnc(SCC(=O)NCc4ccccc4)n3C)oc21,decoy
CCOc1ccc(C2C(C(=O)OC)=C(C)N=C3SCCC(=O)N32)cc1OCC,decoy
COC(=O)CSc1nnc(-c2ccccc2OC)o1,decoy
CCOc1cccc(C(=O)N(Cc2ccco2)C2CCS(=O)(=O)C2)c1,decoy
Cc1ccc(C)c(NC(=O)C2CC=CCC2C(=O)O)c1,decoy
CCCCNC(=O)c1nnn(-c2ccccc2)c1N,decoy
Nc1[nH]c(SCc2ccccc2)nc(=O)c1-c1ccccc1,decoy
CCOC(=O)C1CCN(C(=O)Nc2ccc(Cl)cc2)CC1,decoy
O=C(O)C1Nc2c(O)cccc2C2C=CCC21,decoy
Cn1c(N)c(C(=O)COC(=O)c2ccc3c(c2)OCCO3)c(=O)n(C)c1=O,decoy
NC(=O)c1ccc2c(c1)OCCO2,decoy
C=CCN1c2ccccc2C2(C1=O)c1c(c3ccccc3oc1=O)OC(N)=C2C(=O)OCC,decoy
CS(=O)(=O)N1CCCC(C(=O)N2CCc3ccccc3C2)C1,decoy
CCOc1ccc(N(CC(=O)NC2CCCCC2)S(=O)(=O)c2c(C)noc2C)cc1,decoy
